paymentTypeCode,rateCodeIdCode,year,month,TotalTrips,totalRevenueByPayment,totalTipsCollected,totalTollsPaid
Dispute,Standard rate,2019,1,358,2943.04,-1.0,98.04
Dispute,Newark,2019,1,3,166.9,0.0,21.0
Dispute,Negotiated fare,2019,1,17,-287.26,0.0,0.0
Dispute,JFK,2019,1,18,336.06,0.0,5.76
Dispute,Nassau or Westchester,2019,1,1,118.3,0.0,0.0
Dispute,Negotiated fare,2018,5,327,4566.55,-16.15,413.27
Dispute,Newark,2018,5,157,6149.82,0.0,708.32
Dispute,Standard rate,2018,5,12570,150727.82,-120.24,3659.21
Dispute,JFK,2018,5,567,22698.52,-29.94,1447.91
Dispute,Nassau or Westchester,2018,5,35,1822.77,0.0,67.77
Dispute,Group ride,2018,5,5,9.9,0.0,0.0
Dispute,Standard rate,2018,6,12483,145074.89,-127.69,5150.53
Dispute,Negotiated fare,2018,6,304,7078.75,-21.46,516.48
Dispute,Newark,2018,6,148,5146.35,0.0,655.25
Dispute,JFK,2018,6,565,19229.37,-10.56,2620.68
Dispute,Nassau or Westchester,2018,6,29,918.96,0.0,5.76
Dispute,Group ride,2018,6,5,25.26,0.0,5.76
Dispute,Negotiated fare,2018,7,287,1140.63,-6.16,278.62
Dispute,Standard rate,2018,7,11136,218427.91,-277.17,2362.01
Dispute,Newark,2018,7,136,5505.38,0.0,1435.18
Dispute,Nassau or Westchester,2018,7,39,2384.27,0.0,42.07
Dispute,JFK,2018,7,519,17952.35,-7.92,1977.17
Dispute,Group ride,2018,7,5,8.9,0.0,0.0
Dispute,Standard rate,2018,8,11339,117437.21,6.11,2030.15
Dispute,Negotiated fare,2018,8,328,4662.56,-4.98,410.86
Dispute,Nassau or Westchester,2018,8,34,1293.5,0.0,28.8
Dispute,Newark,2018,8,113,3539.51,-60.0,376.81
Dispute,Group ride,2018,8,5,10.9,0.0,0.0
Dispute,JFK,2018,8,514,17869.7,0.0,1764.2
Dispute,Newark,2018,9,125,3998.23,0.0,498.13
Dispute,Nassau or Westchester,2018,9,44,2053.28,0.0,54.48
Dispute,Negotiated fare,2018,9,308,3282.68,-27.3,508.4
Dispute,JFK,2018,9,527,17182.3,8.78,1377.02
Dispute,Standard rate,2018,9,11112,114140.99,-27.41,2460.14
Dispute,Group ride,2018,9,4,19.67,0.0,0.0
Dispute,JFK,2018,10,564,17793.86,8.59,1410.07
Dispute,Newark,2018,10,113,4340.78,-25.3,1344.18
Dispute,Standard rate,2018,10,12115,124304.82,-16.98,2761.1
Dispute,Negotiated fare,2018,10,352,3481.88,-29.24,675.47
Dispute,Nassau or Westchester,2018,10,35,2025.48,0.0,68.58
Dispute,Group ride,2018,10,5,670.35,0.0,0.0
Dispute,JFK,2018,11,488,15906.86,12.61,1180.75
Dispute,Negotiated fare,2018,11,400,3899.02,10.68,808.78
Dispute,Standard rate,2018,11,11347,108231.95,7.86,1804.16
Dispute,Newark,2018,11,109,3687.16,0.0,347.76
Dispute,Group ride,2018,11,11,47.3,0.0,0.0
Dispute,Nassau or Westchester,2018,11,49,2153.82,0.0,33.12
Dispute,Newark,2018,12,146,5894.41,0.0,750.71
Dispute,Nassau or Westchester,2018,12,24,1296.74,0.0,23.04
Dispute,JFK,2018,12,477,10798.26,4.08,1077.38
Dispute,Negotiated fare,2018,12,420,3427.42,8.21,492.08
Dispute,Standard rate,2018,12,12824,119397.11,-107.4,4093.65
Dispute,Group ride,2018,12,2,6.6,0.0,0.0
